Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
EMP24	YGL200C	PIS1	YPR113W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	PMP2	YEL017C-A	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	PMR1	YGL167C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	PMT1	YDL095W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Goder V and Melero A (2011) PMID:21147851	
EMP24	YGL200C	PMT1	YDL095W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	PMT2	YAL023C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Goder V and Melero A (2011) PMID:21147851	
EMP24	YGL200C	PMT2	YAL023C	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Goder V and Melero A (2011) PMID:21147851	
EMP24	YGL200C	PMT2	YAL023C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	PRM10	YJL108C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	PRP40	YKL012W	Protein-peptide	high-throughput	Hit	No Modification	BioGRID	Hesselberth JR, et al. (2006) PMID:16606443	A protein microarray was probed with the first WW domain from PRP40 (YKL012W_WW1).|High Throughput: Each WW-domain was used as a probe for two separate protein microarrays.  Only those in which four independent interactions were osbserved were considered high-confidence (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).
EMP24	YGL200C	PUF3	YLL013C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2015) PMID:26524240	RNA Tagging
EMP24	YGL200C	PUF3	YLL013C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2017) PMID:28768715	
EMP24	YGL200C	RER1	YCL001W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	RPN5	YDL147W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
EMP24	YGL200C	RRT6	YGL146C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	SAR1	YPL218W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Kuehn MJ, et al. (1998) PMID:9428766	
EMP24	YGL200C	SAR1	YPL218W	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (2001) PMID:11560939	
EMP24	YGL200C	SAR1	YPL218W	Co-purification	manually curated	Hit	No Modification	BioGRID	Kuehn MJ, et al. (1998) PMID:9428766	
EMP24	YGL200C	SCC2	YDR180W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Mattingly M, et al. (2022) PMID:35654035	
EMP24	YGL200C	SCS2	YER120W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Manford AG, et al. (2012) PMID:23237950	
EMP24	YGL200C	SCS3	YGL126W	PCA	high-throughput	Hit	No Modification	BioGRID	Yap WS, et al. (2020) PMID:33033181	MYTH
EMP24	YGL200C	SEC13	YLR208W	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (2001) PMID:11560939	
EMP24	YGL200C	SEC13	YLR208W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	SEC21	YNL287W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Sabido-Bozo S, et al. (2021) PMID:33401608	
EMP24	YGL200C	SEC22	YLR268W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	SEC23	YPR181C	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (2001) PMID:11560939	
EMP24	YGL200C	SEC23	YPR181C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	SEC24	YIL109C	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (2001) PMID:11560939	
EMP24	YGL200C	SEC24	YIL109C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	SEC27	YGL137W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	SEC31	YDL195W	Reconstituted Complex	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (2001) PMID:11560939	
EMP24	YGL200C	SEC61	YLR378C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	SED5	YLR026C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Cho JH, et al. (2000) PMID:10713261	
EMP24	YGL200C	SED5	YLR026C	Co-purification	manually curated	Hit	No Modification	BioGRID	Inadome H, et al. (2005) PMID:16107716	
EMP24	YGL200C	SHR3	YDL212W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	SIS1	YNL007C	Proximity Label-MS	high-throughput	Hit	No Modification	BioGRID	Ali A, et al. (2023) PMID:37845327	APEX2
EMP24	YGL200C	SND3	YBR106W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	SND3	YBR106W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	SNL1	YIL016W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	SPF1	YEL031W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	SRO9	YCL037C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Schenk L, et al. (2012) PMID:22271760	RNA-binding protein immunopurification-microarray (RIP-chip) analysis, cut-off score: >0.6
EMP24	YGL200C	SRP102	YKL154W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	SSA1	YAL005C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Babu M, et al. (2012) PMID:22940862	Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1.
EMP24	YGL200C	SSB1	YDL229W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Babu M, et al. (2012) PMID:22940862	Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1.
EMP24	YGL200C	SSB2	YNL209W	Co-purification	high-throughput	Hit	No Modification	BioGRID	Willmund F, et al. (2013) PMID:23332755	isolation of cotranslationally bound SSB-RNC complexes allows us to identify the chaperone-bound nascent polypeptides through analysis of the mRNAs encoding the substrates
EMP24	YGL200C	SSP120	YLR250W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	STE24	YJR117W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	STM1	YLR150W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	SUA7	YPR086W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	O'Brien MJ and Ansari A (2024) PMID:37863410	
EMP24	YGL200C	SUR2	YDR297W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	TAT1	YBR069C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	TMN2	YDR107C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	TPO2	YGR138C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	TSC13	YDL015C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	UGA4	YDL210W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	VAN1	YML115C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	VAR1	Q0140	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Bertgen L, et al. (2024) PMID:38551959	
EMP24	YGL200C	VMA10	YHR039C-A	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Khan MM, et al. (2022) PMID:34918374	
EMP24	YGL200C	VPS15	YBR097W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	VPS30	YPL120W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	VPS34	YLR240W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	YET1	YKL065C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	YHR140W	YHR140W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	YIF1	YNL263C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	YIP1	YGR172C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	YKL063C	YKL063C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	YPS1	YLR120C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Castillon GA, et al. (2011) PMID:21680708	
EMP24	YGL200C	YRA1	YDR381W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	ZRG17	YNR039C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
